binary_size,compilation_time,execution_time,opt,compiler,program,data_structure,iterations
56267,1.148,48.675,-O0,gcc-14,ex8,array,8
41774,2.233,21.878,-O1,gcc-14,ex8,array,8
44435,1.814,10.992,-O2,gcc-14,ex8,array,8
50139,1.953,9.822,-O3,gcc-14,ex8,array,8
31882,1.664,18.529,-Os,gcc-14,ex8,array,8
50239,1.892,9.023,-Ofast,gcc-14,ex8,array,8
50750,1.956,50.084,-O0,clang-21,ex8,array,8
37078,2.442,16.687,-O1,clang-21,ex8,array,8
37928,2.603,10.289,-O2,clang-21,ex8,array,8
39808,2.629,10.173,-O3,clang-21,ex8,array,8
31220,2.376,16.505,-Os,clang-21,ex8,array,8
31304,2.328,16.271,-Oz,clang-21,ex8,array,8
39904,2.566,8.967,-Ofast,clang-21,ex8,array,8
60377,0.708,252.854,-O0,gcc-14,ex9,array,8
40299,1.029,102.989,-O1,gcc-14,ex9,array,8
43819,1.38,52.166,-O2,gcc-14,ex9,array,8
55387,1.674,42.692,-O3,gcc-14,ex9,array,8
31550,1.224,98.946,-Os,gcc-14,ex9,array,8
55487,1.652,42.611,-Ofast,gcc-14,ex9,array,8
53998,1.236,276.536,-O0,clang-21,ex9,array,8
38398,1.613,86.68,-O1,clang-21,ex9,array,8
43104,1.679,48.572,-O2,clang-21,ex9,array,8
44848,1.719,41.686,-O3,clang-21,ex9,array,8
30824,1.563,81.353,-Os,clang-21,ex9,array,8
31952,1.505,86.674,-Oz,clang-21,ex9,array,8
44944,1.737,41.524,-Ofast,clang-21,ex9,array,8
73253,2.449,856.713,-O0,gcc-14,ex8,array,10
54397,3.108,357.37,-O1,gcc-14,ex8,array,10
57315,4.031,227.002,-O2,gcc-14,ex8,array,10
64747,3.753,206.295,-O3,gcc-14,ex8,array,10
41148,3.344,344.127,-Os,gcc-14,ex8,array,10
64847,4.198,212.137,-Ofast,gcc-14,ex8,array,10
66046,3.694,938.81,-O0,clang-21,ex8,array,10
48006,4.723,345.673,-O1,clang-21,ex8,array,10
49480,4.911,210.379,-O2,clang-21,ex8,array,10
51904,5.026,224.126,-O3,clang-21,ex8,array,10
40352,4.649,313.501,-Os,clang-21,ex8,array,10
40564,4.443,315.513,-Oz,clang-21,ex8,array,10
52000,4.93,197.005,-Ofast,clang-21,ex8,array,10
78085,1.575,232.8,-O0,gcc-14,ex9,array,10
51787,2.293,132.3,-O1,gcc-14,ex9,array,10
56139,2.974,74.4,-O2,gcc-14,ex9,array,10
71099,3.517,40.33,-O3,gcc-14,ex9,array,10
40400,2.601,91.5,-Os,gcc-14,ex9,array,10
71199,3.427,42.5,-Ofast,gcc-14,ex9,array,10
69950,2.302,233.5,-O0,clang-21,ex9,array,10
49950,2.988,81.8,-O1,clang-21,ex9,array,10
55040,3.32,38.2,-O2,clang-21,ex9,array,10
57376,3.464,41.26,-O3,clang-21,ex9,array,10
39644,3.178,80.3,-Os,clang-21,ex9,array,10
40940,2.969,84.4,-Oz,clang-21,ex9,array,10
57472,3.251,35.4,-Ofast,clang-21,ex9,array,10
73642,1.168,5.349,-O0,gcc-14,ex8,sortedlist,8
43417,1.502,4.874,-O1,gcc-14,ex8,sortedlist,8
