program,depth,lang,cpu_cycle,cpu_instructions,cpu_branches,cpu_branch_misses,cpu_cache_references,cpu_cache_misses,cpu_stalled_cycles_frontend,cpu_stalled_cycles_backend,cpu_L1_dcache_loads,cpu_L1_dcache_load_misses,cpu_LLC_loads,cpu_LLC_load_misses,cpu_dTLB_loads,cpu_dTLB_load_misses,execution_time
ex8,11,c,848757264836,3937333151639,1209764738205,1033664601,747439779,5193728,18816457892,<not supported>,1013906674481,474410827,<not supported>,<not supported>,15153211,1520987,159.493016568
ex8,11,cpp (Array),1031971349806,4014771191848,1239562861031,1334225494,920205336,4910204,22765516093,<not supported>,1029291600162,557876275,<not supported>,<not supported>,11751333,1497931,193.946918941
ex8,11,julia,1689400625155,5431847129852,1943510514608,2866997714,75624646963,12924772301,64630220289,<not supported>,1366713537640,35328723893,<not supported>,<not supported>,2535009172,959766575,315.910126432
ex8,11,v (Native),17109351832800,43179982909737,7420037754246,5510745912,41244453662,2518698307,898658096446,<not supported>,12726768886588,22350088278,<not supported>,<not supported>,827684909,47421034,3214.967943231
ex8,11,c,849397487536,3936817007090,1209458382477,1019630133,699624590,4765240,19216550564,<not supported>,1014071232749,445742357,<not supported>,<not supported>,15721701,1528415,159.608842685
ex8,11,cpp (Array),973712132798,3789663184582,1170558500257,1252953234,976031729,5353249,21480600082,<not supported>,971455744244,569919854,<not supported>,<not supported>,14227588,1517706,182.974870647
ex8,11,julia,1617921037588,5431424291611,1943545530553,2902971197,75274414414,12898481733,63961248663,<not supported>,1367746702650,35322888623,<not supported>,<not supported>,2509044827,955500717,302.478337355
ex8,11,v (Native),17472538444061,44126580717518,7575704429711,5564003792,40780518557,2827616518,914954729309,<not supported>,13012225558332,21179972057,<not supported>,<not supported>,804189568,45083707,3283.161192401
ex8,11,c,848588840022,3937349945594,1209583953609,1028444189,723775905,5866962,18842093429,<not supported>,1013819096150,460140572,<not supported>,<not supported>,16455551,1690611,159.476273091
ex8,11,cpp (Array),926693108946,3606222684013,1114521963827,1196452270,875122447,5424043,20572216853,<not supported>,924249152540,533661877,<not supported>,<not supported>,11206832,1638336,174.170886598
ex8,11,julia,1614988551984,5432271946895,1943627308142,2871042749,75607469736,13001438248,87873558610,<not supported>,1367409985567,35513981216,<not supported>,<not supported>,2554083048,956803186,301.999327811
ex8,11,v (Native),18709872766320,47209978337284,8108331539412,5964823087,44692575710,3057641066,979049739134,<not supported>,13916963413794,23714662424,<not supported>,<not supported>,857518487,47910808,3515.747676945
ex8,11,c,852067474505,3936919706879,1209528591991,1021977496,727189605,10499622,19069780942,<not supported>,1014075679318,427359562,<not supported>,<not supported>,14398652,1521019,160.568194081
ex8,11,cpp (Array),1004546988233,3905612989176,1206715677882,1286961967,1159254558,11425985,22652802898,<not supported>,1001120699708,577805656,<not supported>,<not supported>,12252634,1544369,189.608761707
ex8,11,julia,1654628530040,5432747962138,1942997313324,2935618946,75714064146,13089393235,80952071364,<not supported>,1370476134581,35657562752,<not supported>,<not supported>,2634393999,958030040,310.343479964
ex8,11,v (Native),17997837701023,45584837198513,7766720404720,5876959852,45300891749,2508013452,934931609533,<not supported>,13298182871662,24726972317,<not supported>,<not supported>,955443074,50475607,3385.529351426
ex8,11,c,849203964357,3937327346146,1209790970411,1028920855,703386947,5528041,19253170439,<not supported>,1014018098145,437618578,<not supported>,<not supported>,16160974,1540065,159.57428071
ex8,11,cpp (Array),898674810016,3492930385087,1079968479882,1153449025,842319355,4802973,21510817979,<not supported>,897329064912,502420230,<not supported>,<not supported>,10911094,1318632,168.866966337
ex8,11,julia,1649091247744,5433164968511,1943438113932,2900822700,75677232383,13096914516,87109850350,<not supported>,1368686111568,35457863605,<not supported>,<not supported>,2573124556,960402185,308.322080811
ex8,11,v (Native),18790729286278,47414436600283,8154248886351,6147591472,47498855349,2731441174,988007557095,<not supported>,13976021168788,24676533206,<not supported>,<not supported>,944187037,51570619,3531.000017233
ex8,11,cpp (std::Vector),2517325629989,8921251719617,3281259570028,2467980348,1851463433,15223052,539131993822,<not supported>,1464109722994,1067760308,<not supported>,<not supported>,74675559,4412931,473.014757149
ex8,11,cpp (std::Vector),2090135086886,8938795159444,3288507784949,2716661118,1807452220,28630969,47184650766,<not supported>,1468075598954,965724977,<not supported>,<not supported>,66787092,3860923,393.850787488
ex8,11,cpp (std::Vector),2341766345084,8178784645648,3008894905345,2291163333,1825142003,13868812,493562536403,<not supported>,1341721682191,1028041163,<not supported>,<not supported>,70770655,4368768,440.021011702
ex8,11,cpp (std::Vector),2385650773901,8429813889624,3100779481889,2377627935,1745676348,13766614,509351934458,<not supported>,1383309437665,1017059228,<not supported>,<not supported>,69959243,4366890,448.270702388
ex8,11,cpp (std::Vector),2240345396662,7849269742002,2888386818555,2163238670,1692873638,15137415,472889165717,<not supported>,1287713043618,964976949,<not supported>,<not supported>,66237379,4033597,421.009490962
ex8,11,v (C Backend),1456005975684,6282250256256,2011455753678,2548262166,31187959935,1056926109,56923609794,<not supported>,1030221427637,17839580995,<not supported>,<not supported>,584546518,20150699,273.654556676
ex8,11,v (C Backend),1271712189877,5480741417566,1754479261113,2281506240,25914857489,703464589,49522014673,<not supported>,900407366959,15813054209,<not supported>,<not supported>,529456828,18892614,239.037094141
ex8,11,v (C Backend),1299950067105,5627322369975,1801688543632,2339866573,28480642831,1076881547,51786711736,<not supported>,924325537972,16288925971,<not supported>,<not supported>,547965842,24230971,244.331718078
ex8,11,v (C Backend),1426980170064,6147116832497,1967794997479,2529782946,29565607598,971308799,56010782650,<not supported>,1010331194614,17908804359,<not supported>,<not supported>,597461977,20688812,268.216134729
ex8,11,v (C Backend),1314160144430,5565002678936,1782073307694,2295260814,29848854992,884141594,51933108783,<not supported>,912852067202,16580810689,<not supported>,<not supported>,531276760,20787591,246.975717129
ex8,11,zig,1353809828250,4119429589928,1001130448701,897911635,1095428110,17717363,84125983762,<not supported>,1974025956558,456350705,<not supported>,<not supported>,18315042,1796088,254.392048527
ex8,11,zig,1313315141927,3990184858106,969235775481,865889177,1211825833,18001824,81218307677,<not supported>,1912315894346,576778635,<not supported>,<not supported>,19538495,1813665,246.779563699
ex8,11,zig,1353607394400,4118736497562,1000715613414,901166727,1106594273,17828219,84080040793,<not supported>,1973493318405,465076699,<not supported>,<not supported>,20562796,1872072,254.347806914
ex8,11,zig,1477554899793,4496122525097,1091831678231,965535685,1089558523,14627592,91699312993,<not supported>,2155425418100,451101800,<not supported>,<not supported>,21472997,1763386,277.644134811
ex8,11,zig,1440689280808,4370892552210,1061662661421,926182248,1182519094,15400340,89721190323,<not supported>,2096715696598,547833257,<not supported>,<not supported>,18944465,1675911,270.716016885
ex8,11,go,2323254842254,10113058250832,2659535755454,3070412425,25284134242,3605001740,61166467075,<not supported>,3032737426711,12153685068,<not supported>,<not supported>,1103257207,151518557,468.58506562
ex8,11,go,2327374471259,10109102459817,2659445758557,3078052321,25534133584,3599786514,62587273748,<not supported>,3035235145317,12262227684,<not supported>,<not supported>,1116914508,162596959,471.092159172
ex8,11,go,2325606924470,10112274756734,2661366792139,3063034622,25344432677,3594543447,61772672707,<not supported>,3033889259310,12214177488,<not supported>,<not supported>,1100738530,138763355,469.318754587
ex8,11,go,2322518003136,10124234451161,2663376893037,3069066188,25357143537,3589232663,61079759932,<not supported>,3029199664305,12193596353,<not supported>,<not supported>,1100000194,150417014,468.741903952
ex8,11,go,2324812616204,10125385107450,2663112918276,3085235529,25469701416,3588819819,62138655885,<not supported>,3031334163797,12273285845,<not supported>,<not supported>,1121668865,163918828,470.229676203
ex8,11,d,2235097620365,8494907655338,1824582647420,1858558227,884459876,1647774,42389266676,<not supported>,2858000125446,429891981,<not supported>,<not supported>,16503375,1609129,421.976512374
ex8,11,d,2234810033189,8495420431739,1824403653882,1873824672,916616228,1542838,42652902353,<not supported>,2857398068755,458349837,<not supported>,<not supported>,16432931,1583658,421.923513405
ex8,11,d,2235289291667,8494320958890,1824585653662,1864163245,927461138,1389449,42499630427,<not supported>,2858205539803,457825004,<not supported>,<not supported>,16161947,1607605,422.02067654
ex8,11,d,2234934730489,8494973352577,1824485284211,1869836369,883685321,1497560,42611298835,<not supported>,2857584132868,428813818,<not supported>,<not supported>,16008242,1544291,421.941133932
ex8,11,d,2234603515165,8495173608010,1824661463109,1859721450,933856702,1525474,42474265383,<not supported>,2857437286220,462433212,<not supported>,<not supported>,16585931,1613817,421.886312921
ex8,11,nim,1550211893402,5977828595735,1405165245733,1909020519,3611885995,21111697,24559268919,<not supported>,2494900940564,2025908057,<not supported>,<not supported>,60823351,2442745,293.74524585
